TITLE,Active,Score,Stable,LogP,HB,MT,HSPC,VDW,BUMP,HM,RT,Match,Heavy,Vina,RF3,NN,DSX,DSXA,Score2,Xscore
decoys2229,0,6.54,0.50,4.46,0.00,0.00,0.00,-218.01,0.00,6.42,4.00,-1.96,31,-8.7,6.78,7.133,-87.367,-0.193,8.82,6.38
decoys540,0,6.42,0.46,4.92,0.00,0.00,0.00,-193.83,2.94,6.15,2.00,5.67,21,-8.9,6.52,7.76,-72.291,-0.172,8.08,6.09
decoys1857,0,5.35,0.41,3.62,0.00,0.00,0.00,-174.46,0.00,3.94,4.00,0.43,18,-7.8,6.23,6.14,-65.828,-0.192,5.78,5.79
decoys749,0,6.55,0.41,4.59,0.00,0.00,0.00,-235.12,0.00,6.10,4.00,3.73,25,-9.6,6.97,3.441,-92.366,-0.192,8.73,6.52
decoys654,0,6.03,0.53,4.29,0.00,0.00,0.00,-201.02,0.00,4.87,2.00,1.94,19,-8.3,5.85,5.725,-81.896,-0.210,7.77,6.15
decoys1466,0,6.86,0.56,3.76,0.00,0.00,0.74,-256.10,0.00,6.20,4.00,5.32,28,-9.2,7.10,6.137,-83.059,-0.165,8.91,7.13
decoys941,0,5.19,0.10,3.45,0.00,0.00,0.00,-122.63,2.05,4.93,5.50,-3.65,19,-5.5,6.02,4.152,-57.073,-0.218,6.35,5.41
decoys1642,0,6.58,0.50,5.38,0.70,0.00,0.00,-235.78,3.21,5.46,4.00,8.44,21,-8.0,6.04,4.96,-100.616,-0.192,6.72,6.76
decoys1828,0,5.53,0.45,3.64,0.00,0.00,0.00,-173.61,2.51,4.46,4.00,2.11,19,-6.7,6.27,4.076,-67.752,-0.192,6.30,6.04
decoys762,0,5.34,0.61,2.54,0.00,0.00,0.00,-171.17,2.12,3.31,1.00,0.18,22,-7.6,6.72,4.873,-58.369,-0.164,7.61,5.98
decoys1341,0,6.49,0.47,4.86,0.00,0.00,1.00,-187.64,0.00,6.71,5.00,-6.17,30,-7.7,6.60,6.377,-88.748,-0.219,8.66,5.99
decoys1903,0,5.56,0.31,2.87,0.00,0.00,1.00,-183.58,0.00,4.36,6.00,3.29,19,-7.3,6.40,6.775,-71.556,-0.199,5.45,5.83
decoys708,0,6.36,0.49,4.72,0.00,0.00,1.00,-182.69,0.00,5.98,3.00,-5.98,29,-8.0,6.50,8.154,-78.469,-0.209,8.11,6.02
decoys1376,0,6.28,0.36,4.55,0.00,0.00,0.66,-236.17,1.47,5.43,6.00,2.14,27,-9.5,6.84,8.334,-94.735,-0.205,7.68,6.59
decoys2095,0,6.05,0.47,4.25,0.00,0.00,0.00,-222.61,0.00,5.16,5.00,4.46,21,-7.9,6.22,5.612,-91.609,-0.197,7.23,6.50
decoys314,0,5.62,0.33,2.93,0.73,0.00,0.00,-130.49,0.00,4.48,2.00,-11.51,25,-9.0,6.77,7.612,-47.744,-0.172,8.20,5.73
decoys1195,0,4.86,0.32,2.13,0.00,0.00,0.00,-173.43,0.00,2.79,5.00,0.80,19,-7.2,6.82,10.82,-61.812,-0.164,5.30,5.32
decoys515,0,6.13,0.49,2.66,0.00,0.00,1.00,-229.03,1.14,4.55,4.00,1.06,28,-9.4,7.04,7.673,-93.433,-0.190,8.38,6.61
decoys1459,0,5.80,0.22,3.16,0.00,0.00,0.00,-189.82,0.00,4.91,4.00,-4.00,26,-8.4,6.56,5.131,-76.661,-0.186,6.48,5.56
decoys1006,0,5.81,0.29,4.79,0.00,0.00,0.00,-176.87,0.00,5.44,5.00,1.38,20,-7.6,6.00,5.793,-68.661,-0.197,7.39,5.92
